proveedor ,dependencia ,numero de expediente,hechos de irregularidad,objeto social ,sentido de resolucion,fecha de notificacion ,fecha de resolucion ,plazo ,monto ,nombre responsable de la informacion ,fecha de actualizacion ,
3R INNOVACIîN Y DISE„O  S.A. DE  C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0041/2013","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO.","	3RINNOVACION@LIVE.COM.MX.","	SANCIONATORIA CON MULTA","	19/08/2014","	06/08/2014","	","	90664.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
AERO PARTS CONNECTIONS INC,"	PROCURADURIA GENERAL DE LA REPòBLICA","	0004/2011","	LA EMPRESA AERO PARTS CONNECTIONS  INC.  PRESUNTAMENTE NO ENTREGî GARANTêA DE CUMPLIMIENTO  NO DIO CUMPLIMIENTO A LAS OBLIGACIONES CONTRAIDAS CON LA INSTITUCIîN EN MòLTIPLES PARTIDAS  NO HA HECHO DEVOLUCIîN DE BIENES CORRESPONDIENTES A 93 PARTIDAS Y DIO MAL USO A LOS BIENES QUE LE FUERON ENTREGADOS PARA SU REPARACIîN; CAUSANDO UN PRESUNTO DA„O AL ERARIO FEDERAL","	-","	SANCIONATORIA CON MULTA E INHABILITACIîN","	19/09/2013","	04/09/2013","	5 A„OS","	1577700.00","	BERTIN VAZQUEZ GONZALEZ","	06/12/2018 08:12",
AFAN. S.C.,"	PRONOSTICOS PARA LA ASISTENCIA PòBLICA","	0038/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	PROPORCIONAR SERVICIOS A CUALQUIER CLASE DE EMPRESAS  ORGANISMOS PòBLICOS  ASOCIACIONES CIVILES E INSTITUCIONES DE ASISTENCIA PRIVADA DE ASESORêA  CONSULTORêA Y ASISTENCIA TƒCNICA EN MATERIA FISCAL  CONTABLE  ADMINISTRATIVA Y FINANCIERA  LA ADMINISTRACIîN  DESARROLLO DE ESTUDIOS DE FACTIBILIDAD  DIRECCIîN  CONTROL  CAPACITACIîN Y ELABORACIîN DE ESTUDIOS DE TODO TIPO.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	15/03/2007","	07/03/2007","	3 MESES","	73005.00","	REBECA PEREZ CHACîN","	06/12/2018 08:12",
AG MEDLABIN  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0007/2017","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D6M0501 <br> <br>OMITIî ENTREGAR EL DOCUMENTO RELATIVO AL CUMPLIMIENTO DE SUS OBLIGACIONES FISCALES.","	LA COMPRA  VENTA  IMPORTACIîN  EXPORTACIîN  CONSIGNACIîN  REPRESENTACIîN  FABRICACIîN  MANTENIMIENTO  SERVICIO Y EN GENERAL LA COMERCIALIZACIîN DE EQUIPOS Y REACTIVOS PARA LABORATORIO E INDUSTRIAS SIMILARES.","	SANCIONATORIA CON MULTA","	15/11/2018","	31/10/2018","	","	111021.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
AG MEDLABIN  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0036/2015","	LA EMPRESA PROPORCIONî INFORMACIîN FALSA","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	25/07/2017","	14/07/2017","	1 A„O 6 MESES","	100935.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
AGC HOMES CONSTRUCCIîN Y DISE„O DE MƒXICO  S.A. DE C.V./COMERCIALIZADORA DE MAQUINARIA  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0014/2010","	NO SE PRESENTO REPRESENTANTE ALGUNO DEL CONSORCIO EN LA FECHA DEL VEINTISIETE DE ABRIL DE DOS MIL DIEZ A LA FIRMA DEL CONTRATO COMO ESTABA ESTABELCIDO EN EL ACTA DE FALLO.","	CONSTRUCCIîN DE CASA  HOTELES  CONDOMINIOS  FRACCIONAMIENTOS Y EN GENERAL TODA CLASE DE OBRAS DE INGENIERêA CIVIL.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	20/07/2010","	13/07/2010","	3 MESES","	86190.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
AGENCIA DE VIGILANCIA Y PROTECCIîN PATRIMONIAL  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0053/2011","	LA EMPRESA SE CONDUJO CON DOLO AL PRESENTAR DOCUMENTACIîN QUE NO CORRESPONDêA A LA REALIDAD.","	LA PRESTACIîN DE SERVICIOS DE SEGURIDAD PRIVADA  RESGUARDO Y SUPERVISIîN  CAPACITACIîN Y ENTRENAMIENTO DE ELEMENTOS PARA LA PRESTACIîN DE LOS SERVICIOS DE SEGURIDAD PRIVADA","	SANCIONATORIA CON MULTA E INHABILITACIîN","	19/09/2012","	05/09/2012","	2 A„OS","	712504.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
AGENCIA DIESEL DE MEXICO  S.A. DE C.V.,"	PEMEX EXPLORACIîN Y PRODUCCION","	0414/2005","	HABER PRESENTADO DOCUMENTACION PRESUMIBLEMENTE FALSA","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	21/05/2010","	19/05/2010","	2 A„OS 6 MESES","	702000.00","	","	06/12/2018 08:12",
AGENCIA INTERNACIONAL BELRO  S.A. DE C.V.,"	INSTITUTO NACIONAL DE ESTADISTICA  GEOGRAFIA E INFORMATICA","	0067/2006","	MANIFESTAR FALSAMENTE ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES","	SERVICIOS DE PROTECCIîN Y SEGURIDAD INTEGRAL","	SANCIONATORIA CON MULTA E INHABILITACIîN","	14/12/2006","	07/12/2006","	3 MESES","	75438.50","	GERARDO SUAREZ ISLAS","	06/12/2018 08:12",
AGENTES DE PROTECCIîN  S.A. DE C.V.,"	SECRETARIA DE RELACIONES EXTERIORES","	0002/2009","	PARA DAR CUMPLIMIENTO A LO ESTABLECIDO EN LA CLçUSULA NOVENA DEL CONTRATO SRE-DGD-AD-36/09  EXHIBIî PîLIZA DE FIANZA FOLIO 657884  NòMERO 5859-4894-785011  POR LA CANTIDAD DE $16 000.00 (DIECISƒIS MIL PESOS) LA CUAL RESULTî APîCRIFA","	PRESTACIîN DE SERVICIOS DE SEGURIDAD","	SANCIONATORIA CON MULTA E INHABILITACIîN","	10/06/2009","	05/06/2009","	3 MESES","	78383.50","	ROSAURA GARCIA PALMEROS","	06/12/2018 08:12",
AGR SOLUCIONES MƒDICAS  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0040/2014","	OMITIî FORMALIZAR EL CONTRATO QUE LE FUE ADJUDICADO  DERIVADO DE LA LICITACIîN PòBLICA NACIONAL NòMERO LA-922041991-N25-2014  CONCURSO 511040001-016-14.","	DISTRIBUCIîN DE EQUIPO MEDICO.","	SANCIONATORIA CON MULTA","	15/09/2015","	11/09/2015","	","	28160.86","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
AGRUPACIîN ERLAR  S.A. DE C.V.,"	COMISION NACIONAL BANCARIA Y DE VALORES","	0013/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	REALIZACIîN DE TRABAJOS DE CABLEADO ESTRUCTURADO Y DE CONSTRUCCIîN DE REDES DE INFORMçTICA  TELEFîNICAS Y DE TELECOMUNICACIONES.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	17/01/2007","	08/01/2007","	3 MESES","	68138.00","	SANDRA ANEL VILLANUEVA LEAL","	06/12/2018 08:12",
AGUIZUL S.A. DE C.V.,"	INSTITUTO MEXICANO DEL PETROLEO","	0063/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	23/04/2007","	11/04/2007","	3 MESES","	72540.00","	MYRIAM MARIA GUADALUPE MACIEL JASSO","	06/12/2018 08:12",
AGUIZUL S.A. DE C.V.,"	INSTITUTO MEXICANO DEL PETROLEO","	0093/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	SERVICIO DE COMERCIALIZACIîN","	SANCIONATORIA CON MULTA E INHABILITACIîN","	23/04/2007","	11/04/2007","	3 MESES","	72540.00","	MYRIAM MARIA GUADALUPE MACIEL JASSO","	06/12/2018 08:12",
AGUSTêN CHçVEZ BARRERA,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0001/2012","	78 FRACCIîN IV  DE LA LEY DE OBRAS PòBLICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS.  <br>PROPORCIONî INFORMACIîN FALSA AL CELEBRAR  CON LA SECRETARêA DE LA FUNCIîN PòBLICA  EL CONTRATO SROP-281-2011  PARA OTORGAR SERVICIOS DE APOYO EN AUDITORêAS  DADO QUE MANIFESTî BAJO PROTESTA DE DECIR VERDAD  NO ENCONTRARSE EN ALGUNO DE LOS SUPUESTOS DEL ARTêCULO 51 DE LA LEY  NO OBSTANTE ESTAR INHABILITADO POR ESTA SECRETARêA.","	SERVICIOS DE AUDITORIA  PRçCTICAS Y SEGUIMIENTOS DE RESULTADOS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	25/06/2012","	05/06/2012","	3 MESES","	86190.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
AGUSTêN SçNCHEZ FRêAS,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0037/2010","	EL CONTRATISTA  ACTUî CON DOLO AL PRESENTAR PîLIZAS DE FIANZAS FALSAS EN LOS CONTRATOS NO.628010/2007  O928013/2009  O9280030/2009.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	27/04/2012","	18/04/2012","	2 A„OS 7 MESES","	834405.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
AIASA  S.A. DE C.V.,"	PEMEX PETROQUIMICA","	0018/2010","	CON FECHA DEL 3 DE DICIEMBRE DE 2009 LA EMPRESA PRESUNTAMENTE PRESENTî INFORMACIîN FALSA AL MANIFESTAR BAJO PROTESTA DE DECIR VERDAD QUE NO SE ENCONTRABA EN LOS SUPUESTOS DEL ARTêCULO 50 DE DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO.","	ASESORêA  CONSULTORêA  AUDITORêA  SUPERVISIîN  PROYECTOS Y CONSTRUCCIONES.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	18/05/2010","	17/05/2010","	3 A„OS 9 MESES","	1274100.00","	","	06/12/2018 08:12",
AIPR Y COMPA„IA  S.A. DE C.V.,"	CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA","	0003/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	PROYECTO DE INSTALACIONES  ELECTRICA EN ALTA Y BAJA TENSION  COMERCIAL E INDUSTRIAL Y CENTROS DE COMPUTO  ASI COMO LA EVALUACIîN TECNICA DE LAS INSTALACIONES ELECTRICAS EXISTENTES CONSIDERANDO EL LEVANTAMIENTO FISICO DE LAS MISMAS  LA ELABORACIîN DE PLANOS QUE CONTEMPLEN LAS ADECUACIONES A LAS INSTALACIONES ELECTRICAS EXISTENTES  CONSIDERANDO EL LEVANTAMIENTO FISICO DE LAS MISMAS  LA ELABORACION DE PLANOS QUE CONTEMPLEN LAS ADECUACIONES A LAS INSTALACIONES","	SANCIONATORIA CON MULTA E INHABILITACIîN","	24/03/2006","	14/03/2006","	3 MESES","	70200.00","	ARTURO  RAMIREZ RAMIREZ","	06/12/2018 08:12",
AIR GAS COMPANY  S. DE R.L. DE C.V.,"	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","	0006/2012","	PRESUNTAMNETE LA EMPRESA AIRGAS COMPANY  S. DE R.L. DE C.V. PRESENTO DOCUMENTACION APOCRIFA SOBRE LOS CERTIFICADOS DE CALIDAD E PUREZA DE OXIGENO MEDICINAL Y DE LOS INFORMES DE ENSAYO DE CALIDAD Y PUREZA DEL OXIGENO.","	","	SANCIONATORIA","	16/12/2013","	03/12/2013","	2 A„OS 6 MESES","	934950.00","	JUANA PADILLA TAPIA","	06/12/2018 08:12",
AIRE Y PROYECTOS DEL GOLFO S.A. DE C.V.,"	AEROPUERTO  INTERNACIONAL DE LA CIUDAD DE MEXICO S.A. DE C.V.","	0007/2013","	NO FORMALIZA CONTRATO","	S/N","	SANCIONATORIA CON MULTA","	02/10/2014","	02/10/2014","	","	97140.00","	DANIEL GATICA MENDOZA","	06/12/2018 08:12",
AIRGAS COMPANY  S. DE R.L. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0029/2011","	60 FRACCIîN IV  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO.  <br>PROPORCIONî INFORMACIîN FALSA EN EL PROCEDIMIENTO DE LICITACIîN PòBLICA NACIONAL 00641228-077-10  CONVOCADO POR EL INSTITUTO MEXICANO DEL SEGURO SOCIAL   AL EXHIBIR INFORMES DE ANçLISIS DE OXêGENO MEDICINAL  SUPUESTAMENTE PRACTICADOS POR LABORATORIO ACREDITADO POR LA ENTIDAD MEXICANA DE ACREDITACIîN; MISMOS QUE EL LABORATORIO NEGî HABER REALIZADO.","	COMPRA  VENTA  FABRICACIîN«Y DISTRIBUCIîN DE SUMINISTRO DE OXêGENO MEDICINALES.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	27/03/2012","	22/03/2012","	3 A„OS 3 MESES","	1137708.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
AIRGAS COMPANY S. DE R.L. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0080/2013","	60  FRACCIîN IV  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO. <br>PROPORCIONî INFORMACIîN FALSA DURANTE EL PROCEDIMIENTO DE LICITACIîN PòBLICA LA-019GYN085-N32-2012  CONVOCADO POR EL INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO  PARA LA ADQUISICIîN DE SUMINISTRO DE OXêGENO MEDICINAL CON SERVICIO A DOMICILIO DE LA DERECHOHABIENCIA  AL MANIFESTAR BAJO PROTESTA DE DECIR VERDAD NO ENCONTRARSE EN NINGUNO DE LOS SUPUESTOS DE LOS ARTêCULOS 50 Y 60 DE LA LEY; SIENDO QUE LA MISMA SE ENCONTRABA INHABILITADA POR LA SECRETARêA DE LA FUNCIîN PòBLICA.","	VENTA Y COMERCIALIZACIîN DE MEZCLAS  GASES Y LêQUIDOS CREOGƒNICOS  MEDICINALES  ESPECIALES E INDUSTRIALES  Y DE SERVICIOS ASOCIADOS PARA LA DISTRIBUCIîN DE EQUIPOS DE SOLDADURA Y DE SEGURIDAD  ENTRE OTROS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	24/06/2014","	20/06/2014","	3 A„OS 9 MESES","	1449172.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
AKIM DE MƒXICO  S.A DE C.V.,"	SECRETARIA DE LA DEFENSA NACIONAL","	0010/2017","	LA DIR. GRAL.IND. MIL.  DENUNCIî A LA EMPRESA AKIM DE MƒXICO  S.A. DE C.V.  LA CUAL NO ENTREGî 1 300 LTS. DE FOSFATO DE MANGANESO  POR LA CANTIDAD DE $ 114 351.64 (CIENTO CATORCE MIL TRESCIENTOS CINCUENTA Y UN PESOS64/100 M.N.)  CONTRATADOS EN EL PEDIDO DE ADQUISICIîN P07-001347/2016.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	15/06/2017","	02/06/2017","	6 MESES","	113212.00","	JORGE DAVID LEBOREIRO AMADOR","	06/12/2018 08:12",
ALAY COMERCIALIZADORA  S.A. DE C.V.,"	SECRETARIA DE LA DEFENSA NACIONAL","	0004/2017","	DERIVADO DE LA RESCISION DEL FINIQUITO DEL PEDIDO DE ADQUISICIîN ADJUDICADO A LA EMPRES ALAY COMERCIALIZADORA  S.A. DE C.V.  POR NO ENTREGAR LOS BIENES ESPECIFICADOS EN LA PARTIDA 1 DE CITADO PEDIDO.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	04/05/2017","	24/04/2017","	6 MESES","	113212.00","	JORGE DAVID LEBOREIRO AMADOR","	06/12/2018 08:12",
ALAY COMERCIALIZADORA  S.A. DE C.V.,"	SECRETARIA DE LA DEFENSA NACIONAL","	0011/2017","	LA DIR. GRAL.IND. MIL.  DENUNCIî A LA EMPRESA ALAY COMERCIALIZADORA  S.A. DE C.V.  LA CUAL NO ENTREGî EL 30 SEP. 2016  50 PILAS DE 3 VOLTS BR-2/3A 1200 MAH  40 BATER{IAS DE N{IQUEL-CADMIO TAMA„O D DE 1.5 VOLTS  40 LAMPARAS DE HALîGENO DE 70 WATTS D 24 VOLTS  100 PILAS DE ZINC-CARBON DE 6 VOLTS Y UN PAQUETE DE 2000 TERMINALES ELƒCTRICAS  POR LA CANTIDAD DE $ 29 591.51 (VEINTINUEVE MIL QUINIENTOS NOVENTA Y UN PESOS 51/100 M.N.)  CONTRATADOS EN EL PEDIDO DE ADQUISICIîN P07-000909/2016.","	","	SANCIONATORIA CON MULTA","	04/05/2017","	21/04/2017","	","	21912.00","	JORGE DAVID LEBOREIRO AMADOR","	06/12/2018 08:12",
ALBA MARêA DE LA ASUNCIîN HERRASTI FERNçNDEZ,"	SECRETARIA DE ECONOMIA","	0001/2015","	LA DIRECCIîN GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES DE LA SECRETARêA DE ECONOMêA  EMITIî LA INVITACIîN AL SEGUNDO PROCEDIMIENTO DE INVITACIîN A CUANDO MENOS TRES PERSONAS PARA LA ADQUISICIîN DE MATERIAL DE LIMPIEZA PARA LOS INMUEBLES DE LA SECRETARêA DE ECONOMêA  EN EL CUAL ALBA MARêA DE LA ASUNCIîN HERRASTI FERNçNDEZ  RESULTî ADJUDICADA POR LO QUE HACE A LAS PARTIDAS 1  2  4 Y 5. SIN EMBARGO NO SE PRESENTî ANTE DICHA DIRECCIîN GENERAL PARA FORMALIZAR EL PEDIDO NòMERO 11-2014  NI ENTREGî LOS BIENES QUE LE FUERON ADJUDICADOS.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	25/04/2016","	25/04/2016","	3 MESES","	201870.00","	MIGUEL MANUEL RAMIREZ MANDUJANO","	06/12/2018 08:12",
ALBA MARêA DE LA ASUNCIîN HERRASTI FERNçNDEZ,"	PEMEX GAS Y PETROQUIMICA BASICA","	0001/2015","	NO FORMALIZACIîN DE DOS CONTRATOS","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	05/06/2015","	04/06/2015","	3 MESES","	100935.00","	","	06/12/2018 08:12",
ALBE INTERNACIONAL  S.A. DE C.V.,"	PETROLEOS MEXICANOS CORPORATIVO","	0030/2013","	NO FORMALIZACIîN DEL CONTRATO RESPECTIVO POR CUESTIONES PRESUNTAMENTE ATRIBUIBLES A LA EMPRESA ALBER INTERNACIONAL  S.A. DE C.V.","	","	SANCIONATORIA CON MULTA","	07/05/2014","	28/04/2014","	","	97140.00","	","	06/12/2018 08:12",
ALBEK DE MƒXICO  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0144/2006","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D60577","	FABRICACION Y COMERCIALIZACION DE PRODUCTOS QUIMICOS HIGIENICOS  DE CURACION  JABON DE TOCADOR Y BOLSAS DE PLASTICO","	SANCIONATORIA CON MULTA","	04/03/2010","	22/02/2010","	","	68138.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ALBERTO HERNçNDEZ HERNçNDEZ,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0078/2015","	INCUMPLIMIENTO DE LAS OBLIGACIONES CONTRACTUALES ART. 78 FRACCIîN III DE LA LAASSP","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	29/06/2018","	29/06/2018","	1 A„O 6 MESES","	651930.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
ALDEA MEDIA  S.A. DE C.V.,"	TELEVISION METROPOLITANA  S.A. DE C.V.","	0001/2018","	SE ABSTUVO DE FORMALIZAR EL CONTRATO O PEDIDO","	EXPLOTACIîN DE LOS SERVICIOS PòBLICOS DE TELECOMUNICACIONES Y RADIODIFUSIîN","	SANCIONATORIA CON MULTA","	13/11/2018","	09/11/2018","	","	124930.00","	JOSƒ DE JESòS ALAVEZ ROSAS","	06/12/2018 08:12",
ALDO ANRUBIO SALAS,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0140/2014","	EL PROVEEDOR INJUSTIFICADAMENTE Y POR CAUSAS QUE SîLO LE SON IMPUTABLES AL MISMO  NO ENTREGî LA PîLIZA DE FIANZA","	","	SANCIONATORIA CON MULTA","	30/11/2016","	28/11/2016","	","	100935.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ALEACIONES Y DESARROLLO TECNOLOGICO  S.A. DE C.V.,"	PEMEX EXPLORACIîN Y PRODUCCION","	0084/2008","	HABER PRESENTADO COPIA DE REPORTE DE PRUEBA DE DEFORMACION DE ELEMENTO GIRATORIO EXPEDIDO POR LA CASA CERTIFICADORA LLOYDS REGISTER  AL PARECER APOCRIFO Y CON ALTERACIONES","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	07/06/2011","	20/05/2011","	1 A„O 10 MESES","	583749.00","	","	06/12/2018 08:12",
ALED COMPANY  S.A. DE C.V.,"	PEMEX GAS Y PETROQUIMICA BASICA","	0013/2012","	PRESENTO DICTAMENES FIANCIEROS FALSOS","	COMERCIALIZACIîN  ALMACENAMIENTO  COMPRA  VENTA  ALQUILER  DISTRIBUCIîN  MANUFACTURA  PRODUCCIîN  PROCESAMIENTO  IMPORTACIîN Y EXPORTACIîN DE TODO TIPO DE PRODUCTOS EN GENERAL Y CUALQUIER ARTêCULO QUE SE PUEDA COMERCIALIZAR  PROVEER  COMPRAR O VENDER LICITAMENTE DENTRO DE LA REPòBLICA MEXICANA.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	20/09/2012","	19/09/2012","	8 MESES","	225940.00","	","	06/12/2018 08:12",
ALEG DISE„O Y MANTENIEMIENTO INDUSTRIAL  S.A. DE C.V.,"	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","	0004/2008","	POR CAUSAS IMPUTABLES A LA MISMA SE ABSTUVO DE FORMALIZAR EL CONTRATO ADJUDICADO.","	ESTUDIO  PROYECTO CONSTRCCION  VENTA DE DESARROLLOS HABITACIONALES.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	02/06/2008","	28/05/2008","	1 A„O","	78383.50","	JUANA PADILLA TAPIA","	06/12/2018 08:12",
ALEJANDRA MONCADA DIAZ,"	COORDINACIîN NACIONAL DE PROSPERA PROGRAMA DE INCLUSIîN SOCIAL","	0003/2012","	LA LICITANTE ALEJANDRA MONCADA DIAZ  PRESENTî SU PROPUESTA TƒCNICA Y ECONîMICA COMO PERSONA FêSICA Y COMO SOCIA DE DIVERSA PERSONA JURêDICA  EN LA MISMA LICITACIîN PòBLICA.","	FABRICACIîN Y COMPRA  VENTA DE MOBILIARIO DE OFICINA Y ESCOLAR.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	23/11/2016","	16/11/2016","	3 MESES","	93495.00","	","	06/12/2018 08:12",
ALEJANDRO BERUMEN SALAZAR,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0216/2008","	FALTA DE FORMALIZACION DEL CONTRATO NO. S850095","	","	SANCIONATORIA CON MULTA","	24/05/2011","	09/05/2011","	","	22876.65","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ALEJANDRO CASTRO BELLO,"	SECRETARIA DE DESARROLLO SOCIAL","	0006/2014","	LA PERSONA FêSICA ALEJANDRO CASTRO BELLO PRESUNTAMENTE INCUMPLIî CON SUS OBLIGACIONES CONTRACTUALES AL NO CONCLUIR LOS TRABAJOS QUE LE FUERON ENCOMENDADOS MEDIANTE EL CONTRATO DE OBRA PòBLICA SDSDGRO-FON-VIV-002-12-05 EN EL TIEMPO CONVENIDO PARA SU TERMINACIîN  SIN EMBARGO COBRO LAS ESTIMACIONES 1  2  3  4  5 Y ANTICIPO GENRçNDO UN PRESUNTO DA„O AL ERARIO FEDERAL POR LA CANTIDAD DE $824 044.94","	CONSTRUCCIîN Y RENTA DE MAQUINARIA Y EQUIPO","	SANCIONATORIA CON MULTA E INHABILITACIîN","	25/06/2015","	19/06/2015","	5 MESES","	112069.34","	","	06/12/2018 08:12",
ALEJANDRO GALICIA REYES,"	PETROLEOS MEXICANOS CORPORATIVO","	0022/2013","	LA NO FORMALIZACIîN DEL CONTRATO  COMO CONSECUENCIA DE NO CONTAR CON LA OPINIîN POSITIVA DEL 32D","	","	SANCIONATORIA CON MULTA","	14/11/2013","	04/11/2013","	","	97140.00","	","	06/12/2018 08:12",
ALEJANDRO IBARRA LîPEZ,"	CENTRO NACIONAL DE METROLOGIA","	0007/2015","	INCUMPLIMIENTO EN LA ENTREGA DEL MATERIAL SOLICITADO EN EL PLAZO SE„ALADO Y EN LAS CONDICIONES REQUERIDAS","	","	SANCIONATORIA CON MULTA","	20/04/2016","	09/11/2015","	","	100935.00","	IGNACIO MARTIN WATSON HERNANDEZ","	06/12/2018 08:12",
ALEJANDRO SALAZAR JACOBO,"	COMISION FEDERAL DE ELECTRICIDAD","	0289/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	MANTENIMIENTO ELECTROMECçNICO.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	06/12/2006","	05/12/2006","	3 MESES","	73005.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
ALFATEC  S.A DE C.V,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0321/2007","	PRESENTO DOCUMENTACION FALSA Y SE CONDUJO CON DOLO AL PARTICIPAR EN PROCESOS DE LICITACION","	COMPRA  VENTA  CONSIGNACION  REPRESENTACION  COMISION  DISTRIBUCION  COMERCIALIZACION  RENTA  IMPORTACION  EXPORTACION  Y FABRICACION DE TODA CLASE DE EQUIPOS MEDICOS  ELECTROMEDICOS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	22/06/2007","	19/06/2007","	3 A„OS 3 MESES","	963666.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
